"city","year","lts","run_timestamp","population","avg_distance_m","avg_circuity","avg_dist_change_pct","pct_ci_route","pct_lts1","pct_lts2","pct_lts3","pct_lts4","access_15min_vol","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","found_routes","avg_dist_km"
"Lisbon","2026",2,"20260224_114907",NA,7832.33,1.49,-4.46,34.04,85.7,7.12,3.1,4.07,167244485.1471,5535364.061,216257.088261936,3.91,65.55,3.86,10.14,20.44,145207.894246049,10603.0467747109,44520.0876981955,15926.0595429809,16493,NA
"Lisbon","2026",2,"20260224_114907",NA,7832.33,1.49,-4.46,34.04,85.7,7.12,3.1,4.07,167244485.1471,5535364.061,216257.088261936,3.91,65.55,3.86,10.14,20.44,145207.894246049,10603.0467747109,44520.0876981955,15926.0595429809,16493,NA
"Lisbon","2026",3,"20260224_114907",NA,7574.62,1.44,-5.66,27.89,67.11,9.25,20.07,3.56,214362251.0832,5535364.061,216257.088261936,3.91,65.55,3.86,10.14,20.44,145207.894246049,10603.0467747109,44520.0876981955,15926.0595429809,16513,NA
"Lisbon","2026",3,"20260224_114907",NA,7574.62,1.44,-5.66,27.89,67.11,9.25,20.07,3.56,214362251.0832,5535364.061,216257.088261936,3.91,65.55,3.86,10.14,20.44,145207.894246049,10603.0467747109,44520.0876981955,15926.0595429809,16502,NA
"Lisbon","2026",3,"20260224_114907",NA,7574.62,1.44,-5.66,27.89,67.11,9.25,20.07,3.56,214362251.0832,5535364.061,216257.088261936,3.91,65.55,3.86,10.14,20.44,145207.894246049,10603.0467747109,44520.0876981955,15926.0595429809,16502,NA
"Lisbon","2026",4,"20260224_114907",NA,6999.79,1.34,-0.64,11.2,35.41,6.1,15.21,43.27,341136563.21925,5535364.061,216257.088261936,3.91,65.55,3.86,10.14,20.44,145207.894246049,10603.0467747109,44520.0876981955,15926.0595429809,16518,NA
"Lisbon","2026",4,"20260224_114907",NA,6999.79,1.34,-0.64,11.2,35.41,6.1,15.21,43.27,341136563.21925,5535364.061,216257.088261936,3.91,65.55,3.86,10.14,20.44,145207.894246049,10603.0467747109,44520.0876981955,15926.0595429809,16508,NA
"Lisbon","2026",4,"20260224_114907",NA,6999.79,1.34,-0.64,11.2,35.41,6.1,15.21,43.27,341136563.21925,5535364.061,216257.088261936,3.91,65.55,3.86,10.14,20.44,145207.894246049,10603.0467747109,44520.0876981955,15926.0595429809,16508,NA
"Paris","2016",1,"20260224_114907",NA,7634.4,1.42,0,25.15,78.34,1.27,7.59,12.76,52983199.23905,5702285.482,503392.954370825,8.83,50.98,2.79,16.01,30.23,217643.467038321,129185.977867427,136643.426447321,19920.0830177555,19967,NA
"Paris","2016",1,"20260224_114907",NA,7634.4,1.42,0,25.15,78.34,1.27,7.59,12.76,52983199.23905,5702285.482,503392.954370825,8.83,50.98,2.79,16.01,30.23,217643.467038321,129185.977867427,136643.426447321,19920.0830177555,19598,NA
"Paris","2016",1,"20260224_114907",NA,7634.4,1.42,0,25.15,78.34,1.27,7.59,12.76,52983199.23905,5702285.482,503392.954370825,8.83,50.98,2.79,16.01,30.23,217643.467038321,129185.977867427,136643.426447321,19920.0830177555,19598,NA
"Paris","2016",2,"20260224_114907",NA,7699,1.42,0,25.32,74.05,7.13,6.96,11.82,57970143.89865,5702285.482,503392.954370825,8.83,50.98,2.79,16.01,30.23,217643.467038321,129185.977867427,136643.426447321,19920.0830177555,19969,NA
"Paris","2016",2,"20260224_114907",NA,7699,1.42,0,25.32,74.05,7.13,6.96,11.82,57970143.89865,5702285.482,503392.954370825,8.83,50.98,2.79,16.01,30.23,217643.467038321,129185.977867427,136643.426447321,19920.0830177555,19751,NA
"Paris","2016",2,"20260224_114907",NA,7699,1.42,0,25.32,74.05,7.13,6.96,11.82,57970143.89865,5702285.482,503392.954370825,8.83,50.98,2.79,16.01,30.23,217643.467038321,129185.977867427,136643.426447321,19920.0830177555,19751,NA
"Paris","2016",3,"20260224_114907",NA,7433.36,1.37,0,24.97,48.7,6.35,37.63,7.29,109111459.84015,5702285.482,503392.954370825,8.83,50.98,2.79,16.01,30.23,217643.467038321,129185.977867427,136643.426447321,19920.0830177555,19969,NA
"Paris","2016",3,"20260224_114907",NA,7433.36,1.37,0,24.97,48.7,6.35,37.63,7.29,109111459.84015,5702285.482,503392.954370825,8.83,50.98,2.79,16.01,30.23,217643.467038321,129185.977867427,136643.426447321,19920.0830177555,19951,NA
"Paris","2016",3,"20260224_114907",NA,7433.36,1.37,0,24.97,48.7,6.35,37.63,7.29,109111459.84015,5702285.482,503392.954370825,8.83,50.98,2.79,16.01,30.23,217643.467038321,129185.977867427,136643.426447321,19920.0830177555,19951,NA
"Paris","2016",4,"20260224_114907",NA,6575.21,1.22,0,36.6,23.12,3.4,22.71,50.74,210701682.02265,5702285.482,503392.954370825,8.83,50.98,2.79,16.01,30.23,217643.467038321,129185.977867427,136643.426447321,19920.0830177555,19971,NA
"Paris","2016",4,"20260224_114907",NA,6575.21,1.22,0,36.6,23.12,3.4,22.71,50.74,210701682.02265,5702285.482,503392.954370825,8.83,50.98,2.79,16.01,30.23,217643.467038321,129185.977867427,136643.426447321,19920.0830177555,19951,NA
"Paris","2016",4,"20260224_114907",NA,6575.21,1.22,0,36.6,23.12,3.4,22.71,50.74,210701682.02265,5702285.482,503392.954370825,8.83,50.98,2.79,16.01,30.23,217643.467038321,129185.977867427,136643.426447321,19920.0830177555,19951,NA
"Paris","2021",1,"20260224_114907",NA,7637.28,1.4,0.04,33.08,88.87,1.3,2.99,6.83,91450403.7556,6565624.33,665715.897339712,10.14,60.05,4.71,9.71,25.53,324835.66883835,172348.3608458,138951.749765942,29580.1178896187,19967,NA
"Paris","2021",1,"20260224_114907",NA,7637.28,1.4,0.04,33.08,88.87,1.3,2.99,6.83,91450403.7556,6565624.33,665715.897339712,10.14,60.05,4.71,9.71,25.53,324835.66883835,172348.3608458,138951.749765942,29580.1178896187,19926,NA
"Paris","2021",1,"20260224_114907",NA,7637.28,1.4,0.04,33.08,88.87,1.3,2.99,6.83,91450403.7556,6565624.33,665715.897339712,10.14,60.05,4.71,9.71,25.53,324835.66883835,172348.3608458,138951.749765942,29580.1178896187,19926,NA
"Paris","2021",2,"20260224_114907",NA,7480.49,1.37,-2.84,32.95,80.44,10.89,2.6,6.05,107222346.44905,6565624.33,665715.897339712,10.14,60.05,4.71,9.71,25.53,324835.66883835,172348.3608458,138951.749765942,29580.1178896187,19969,NA
"Paris","2021",2,"20260224_114907",NA,7480.49,1.37,-2.84,32.95,80.44,10.89,2.6,6.05,107222346.44905,6565624.33,665715.897339712,10.14,60.05,4.71,9.71,25.53,324835.66883835,172348.3608458,138951.749765942,29580.1178896187,19929,NA
"Paris","2021",2,"20260224_114907",NA,7480.49,1.37,-2.84,32.95,80.44,10.89,2.6,6.05,107222346.44905,6565624.33,665715.897339712,10.14,60.05,4.71,9.71,25.53,324835.66883835,172348.3608458,138951.749765942,29580.1178896187,19929,NA
"Paris","2021",3,"20260224_114907",NA,7210.88,1.33,-2.99,35.29,67.09,10.59,17.39,4.91,138968961.97995,6565624.33,665715.897339712,10.14,60.05,4.71,9.71,25.53,324835.66883835,172348.3608458,138951.749765942,29580.1178896187,19969,NA
"Paris","2021",3,"20260224_114907",NA,7210.88,1.33,-2.99,35.29,67.09,10.59,17.39,4.91,138968961.97995,6565624.33,665715.897339712,10.14,60.05,4.71,9.71,25.53,324835.66883835,172348.3608458,138951.749765942,29580.1178896187,19929,NA
"Paris","2021",3,"20260224_114907",NA,7210.88,1.33,-2.99,35.29,67.09,10.59,17.39,4.91,138968961.97995,6565624.33,665715.897339712,10.14,60.05,4.71,9.71,25.53,324835.66883835,172348.3608458,138951.749765942,29580.1178896187,19929,NA
"Paris","2021",4,"20260224_114907",NA,6567.67,1.21,-0.11,47.62,34.43,7.26,12.43,45.87,221352645.72675,6565624.33,665715.897339712,10.14,60.05,4.71,9.71,25.53,324835.66883835,172348.3608458,138951.749765942,29580.1178896187,19971,NA
"Paris","2021",4,"20260224_114907",NA,6567.67,1.21,-0.11,47.62,34.43,7.26,12.43,45.87,221352645.72675,6565624.33,665715.897339712,10.14,60.05,4.71,9.71,25.53,324835.66883835,172348.3608458,138951.749765942,29580.1178896187,19929,NA
"Paris","2021",4,"20260224_114907",NA,6567.67,1.21,-0.11,47.62,34.43,7.26,12.43,45.87,221352645.72675,6565624.33,665715.897339712,10.14,60.05,4.71,9.71,25.53,324835.66883835,172348.3608458,138951.749765942,29580.1178896187,19929,NA
"Paris","2026",1,"20260224_114907",NA,7407.12,1.36,-2.98,59.32,92.81,1.64,0.36,5.18,89595845.4707,6928463.835,784994.606115184,11.33,65.9,6.42,2.33,25.35,404410.472365137,183108.436573764,159443.173357883,38032.5238183992,19967,NA
"Paris","2026",1,"20260224_114907",NA,7407.12,1.36,-2.98,59.32,92.81,1.64,0.36,5.18,89595845.4707,6928463.835,784994.606115184,11.33,65.9,6.42,2.33,25.35,404410.472365137,183108.436573764,159443.173357883,38032.5238183992,19978,NA
"Paris","2026",1,"20260224_114907",NA,7407.12,1.36,-2.98,59.32,92.81,1.64,0.36,5.18,89595845.4707,6928463.835,784994.606115184,11.33,65.9,6.42,2.33,25.35,404410.472365137,183108.436573764,159443.173357883,38032.5238183992,19978,NA
"Paris","2026",2,"20260224_114907",NA,7266.25,1.34,-5.62,59.91,82.41,12.62,0.39,4.58,105786662.33765,6928463.835,784994.606115184,11.33,65.9,6.42,2.33,25.35,404410.472365137,183108.436573764,159443.173357883,38032.5238183992,19969,NA
"Paris","2026",2,"20260224_114907",NA,7266.25,1.34,-5.62,59.91,82.41,12.62,0.39,4.58,105786662.33765,6928463.835,784994.606115184,11.33,65.9,6.42,2.33,25.35,404410.472365137,183108.436573764,159443.173357883,38032.5238183992,19980,NA
"Paris","2026",2,"20260224_114907",NA,7266.25,1.34,-5.62,59.91,82.41,12.62,0.39,4.58,105786662.33765,6928463.835,784994.606115184,11.33,65.9,6.42,2.33,25.35,404410.472365137,183108.436573764,159443.173357883,38032.5238183992,19980,NA
"Paris","2026",3,"20260224_114907",NA,7242.42,1.33,-2.57,59.58,80.7,12.72,2.07,4.5,109472516.9135,6928463.835,784994.606115184,11.33,65.9,6.42,2.33,25.35,404410.472365137,183108.436573764,159443.173357883,38032.5238183992,19969,NA
"Paris","2026",3,"20260224_114907",NA,7242.42,1.33,-2.57,59.58,80.7,12.72,2.07,4.5,109472516.9135,6928463.835,784994.606115184,11.33,65.9,6.42,2.33,25.35,404410.472365137,183108.436573764,159443.173357883,38032.5238183992,19980,NA
